test,algorithm,vertices,edges,colors,time_seconds
test_35.in,rlf,15,42,4,0.0006265999999186533
test_36.in,backtracking,15,63,6,0.0006710999999768319
test_36.in,dsatur,15,63,6,0.0006675999999288251
test_36.in,rlf,15,63,6,0.0005939000000125816
test_37.in,backtracking,15,84,8,0.0007619999998951243
test_37.in,dsatur,15,84,8,0.0008034999999608772
test_37.in,rlf,15,84,8,0.0008762999999589738
test_38.in,backtracking,18,30,3,0.0006859000000076776
test_38.in,dsatur,18,30,3,0.0007836999999426553
test_38.in,rlf,18,30,3,0.000786500000003798
test_39.in,backtracking,18,61,4,0.000743299999953706
test_39.in,dsatur,18,61,4,0.0006518999999798325
test_39.in,rlf,18,61,5,0.0006227999999737222
test_40.in,backtracking,18,91,6,0.0006264999999530119
test_40.in,dsatur,18,91,6,0.000568499999985761
test_40.in,rlf,18,91,6,0.0005045999999993
test_41.in,backtracking,18,122,8,0.0005332999999154708
test_41.in,dsatur,18,122,8,0.0006116000000702115
test_41.in,rlf,18,122,8,0.0005895999998983825
test_42.in,backtracking,20,38,3,0.0004938000000720422
test_42.in,dsatur,20,38,3,0.000559299999963514
test_42.in,rlf,20,38,3,0.000516599999969003
test_43.in,backtracking,20,76,5,0.0005110000000740911
test_43.in,dsatur,20,76,5,0.0006040000000666623
test_43.in,rlf,20,76,6,0.0005717000000231565
test_44.in,backtracking,20,114,8,0.0006220000000212167
test_44.in,dsatur,20,114,8,0.0005662999999458407
test_44.in,rlf,20,114,8,0.0009493000000020402
test_45.in,backtracking,20,152,10,0.0005001999999194595
test_45.in,dsatur,20,152,10,0.0005812999999079693
test_45.in,rlf,20,152,10,0.0005447999999432795
